HMD0_tx,HMD0_ty,HMD0_tz,controller3_tx,controller3_ty,controller3_tz,controller6_tx,controller6_ty,controller6_tz,generic9_tx,generic9_ty,generic9_tz,generic7_tx,generic7_ty,generic7_tz,generic8_tx,generic8_ty,generic8_tz
11.211291,188.81958,-8.447236,23.391712,114.378357,-19.610518,-3.899813,116.267593,-23.289055,12.542927,125.030182,-3.541607,30.577711,30.680952,11.24216,-15.143495,30.930054,2.694847
11.152249,189.063614,-8.12521,23.665194,113.737312,-18.776934,-3.978596,115.970444,-22.513046,12.7295,124.928123,-3.327504,30.434704,31.09832,11.560908,-14.997609,31.026642,2.986392
11.162722,189.108185,-7.784775,23.905029,113.091629,-18.030691,-3.975922,115.523689,-21.72562,12.5722,124.377556,-3.203159,30.513882,31.174444,11.679529,-15.120144,31.17956,3.112232
11.100156,188.878326,-7.448437,24.106224,112.438309,-17.307709,-4.042927,115.15213,-21.081799,12.561792,124.116417,-3.274812,30.828695,31.185106,11.448346,-15.3344,30.93255,3.249067
11.108847,188.397491,-7.126225,24.288637,111.802757,-16.663403,-4.051374,114.703629,-20.486429,12.355916,123.657806,-3.417043,31.19412,30.800554,11.260564,-15.665023,30.467993,3.270889
11.138781,187.623169,-6.772307,24.333231,110.996437,-16.004009,-4.12951,114.18885,-20.076584,11.852348,123.381439,-3.716357,31.673828,30.159019,10.936131,-16.060606,29.788786,3.304215
11.175719,186.579376,-6.450806,24.385927,110.115486,-15.446824,-4.155906,113.43293,-19.682638,11.798349,122.654747,-3.86437,32.146439,29.162844,10.676621,-16.431801,28.71352,3.367245
11.266727,185.230698,-6.096896,24.351231,109.000641,-14.919292,-4.279368,112.586014,-19.444351,11.827462,121.778107,-3.907997,32.692986,27.933826,10.22343,-16.803038,27.507618,3.41184
11.353884,183.630905,-5.779996,24.298365,107.750557,-14.439197,-4.303111,111.360054,-19.223324,11.868587,120.643623,-3.973127,33.08305,26.477671,9.791396,-17.033319,25.891153,3.40754
11.498094,181.760818,-5.515076,24.211666,106.35025,-14.031373,-4.436789,110.022392,-19.156199,11.8446,119.173714,-3.861287,33.354614,24.765575,9.380117,-17.182842,24.122553,3.313356
11.617683,179.657822,-5.301517,24.131536,104.763863,-13.650212,-4.486335,108.311852,-19.13554,11.878165,117.314125,-3.731974,33.589073,22.767977,8.940746,-17.357178,21.94383,3.347318
11.79327,177.278717,-5.165667,24.081438,102.982803,-13.37269,-4.618084,106.434349,-19.248466,11.906364,115.167427,-3.345572,33.816746,20.453163,8.688883,-17.490963,19.61327,3.508418
11.909428,174.63681,-5.116583,24.028864,100.950813,-13.163727,-4.6941,104.211227,-19.415756,11.991813,112.45742,-2.977926,34.113705,17.773397,8.711715,-17.73348,16.949333,3.794404
