Actual_Waist_X,Actual_Waist_Y,Actual_Waist_Z,Actual_R_Foot_X,Actual_R_Foot_Y,Actual_R_Foot_Z,Actual_L_Foot_X,Actual_L_Foot_Y,Actual_L_Foot_Z,Pred_Waist_X,Pred_Waist_Y,Pred_Waist_Z,Pred_R_Foot_X,Pred_R_Foot_Y,Pred_R_Foot_Z,Pred_L_Foot_X,Pred_L_Foot_Y,Pred_L_Foot_Z
0.03031039,1.00332054,0.00740573,0.12597231,0.12167471,-0.061597439999999996,-0.07709449,0.11164685,0.1610078,0.14872120441048556,1.004279459738255,0.17418652544144508,-0.17883439455521516,0.17430206475285878,0.15308070985737396,0.1456764037412226,0.06357355203951172,-0.2601927593094928
0.03272701,1.00285995,-0.0008679,0.12509088999999998,0.12050954000000001,-0.0616315,-0.07764122999999999,0.11162810000000001,0.16048742000000002,0.1551895157408575,1.0030966857032635,0.17297621608018915,-0.19589981166341514,0.17149601053927968,0.15391311369738045,0.15259729708559638,0.06337960469249646,-0.2781045597399145
0.03566087,1.0013002,-0.0063611399999999995,0.12465714,0.11988953000000001,-0.061517600000000006,-0.07803188,0.11182558000000001,0.16025414000000002,0.16196476839077237,1.0017367936476826,0.17191734778036974,-0.21247141041765133,0.168224855810067,0.15519852493801028,0.1594516619237632,0.06339395436023085,-0.29570172200173095
0.038826480000000003,1.0007546999999999,-0.014533899999999999,0.12469044,0.11888712,-0.06159272,-0.07817863,0.11152248999999999,0.15973821,0.16979708502046745,1.000367636265978,0.17125333404144055,-0.2286680542476049,0.1646894583757818,0.15734838598238948,0.1670310386726559,0.06359620432805244,-0.31334460221872357
0.042527350000000005,0.9998779299999999,-0.01975175,0.1249461,0.11824599,-0.06193098,-0.07866313,0.11200349,0.15902435,0.17744296680484387,0.998720368417598,0.17053772602268363,-0.24537606096869352,0.16066171233270332,0.15944403375377267,0.17413840716790685,0.06403758349129017,-0.3310526087545882
0.04540491,1.00025871,-0.02795379,0.12436064999999999,0.11823885,-0.061956420000000005,-0.07954617,0.11236862,0.15816502,0.185082277055075,0.99704805331355,0.1700158470353731,-0.26168036174774617,0.1565031411153736,0.16199160960292167,0.18145120759083755,0.06470316201261893,-0.3480774003395602
0.04916099,1.00007347,-0.03255562,0.12443507000000001,0.11792180999999999,-0.06165303,-0.08016604,0.11280246,0.15747133,0.1930752921275191,0.9951753238643034,0.16963719778142344,-0.27762599633905544,0.15200718793035942,0.1645123074194948,0.18820143860322008,0.06561873064417194,-0.36503462733074915
0.05297751,1.00093895,-0.03996944,0.1248275,0.1172196,-0.06150006,-0.08046036000000001,0.11273504000000001,0.15612372,0.20157490053359153,0.9934090271156201,0.16957117814109626,-0.2924181827625019,0.14755636076538817,0.16752719801484972,0.19512309618204665,0.06680020057673325,-0.38123182576330783
0.05694126,1.00121071,-0.04444997,0.12502235,0.117347,-0.061467150000000005,-0.08111674,0.11326924,0.15405551,0.20992588218795605,0.9914646306578856,0.1694085454379541,-0.3077125953277892,0.14277097242334394,0.17046759626542182,0.2018206238680318,0.06827491338028567,-0.3977470522637834
0.06044752,1.0029472400000001,-0.051351060000000004,0.12452767,0.11743209,-0.06133261,-0.08235271,0.11400451,0.15142761999999999,0.2176669587573588,0.989596444605303,0.16932767905369078,-0.3217306165793124,0.1381560809448498,0.17339811934740318,0.2081174989327924,0.06993452995091308,-0.4128628359096307
