timestamp,HMD0_tx,HMD0_ty,HMD0_tz,HMD0_rx,HMD0_ry,HMD0_rz
1.0000000000,-26.371231,131.895279,-45.347385,79.098839,-16.179794,-1.717841
1.0166666667,-26.371817,131.894257,-45.348614,79.095711,-16.178619,-1.716732
1.0333333333,-26.372494,131.893356,-45.349693,79.093994,-16.177832,-1.715789
1.0500000000,-26.373404,131.892670,-45.350578,79.092773,-16.177475,-1.715037
1.0666666667,-26.374483,131.892288,-45.351219,79.091820,-16.177591,-1.714501
1.0833333333,-26.375641,131.892288,-45.351566,79.093132,-16.178120,-1.714205
1.1000000000,-26.376785,131.892395,-45.351143,79.103996,-16.178944,-1.714176
1.1166666667,-26.377823,131.892563,-45.347706,79.117744,-16.179956,-1.716902
1.1333333333,-26.378662,131.892792,-45.343811,79.130684,-16.181042,-1.722561
1.1500000000,-26.379210,131.893066,-45.339977,79.140656,-16.182087,-1.726014
1.1666666667,-26.379372,131.893387,-45.336452,79.142876,-16.182983,-1.730228
1.1833333333,-26.379217,131.893768,-45.334385,79.144669,-16.178165,-1.738617
1.2000000000,-26.378883,131.894165,-45.332890,79.145958,-16.172514,-1.740309
1.2166666667,-26.378395,131.894592,-45.331657,79.146683,-16.171030,-1.740962
1.2333333333,-26.377779,131.895035,-45.330605,79.146767,-16.169580,-1.740880
1.2500000000,-26.377054,131.895493,-45.329624,79.146301,-16.168146,-1.740385
1.2666666667,-26.376253,131.895950,-45.328636,79.145432,-16.166723,-1.739608
1.2833333333,-26.375391,131.896408,-45.327579,79.144295,-16.165314,-1.738656
1.3000000000,-26.374496,131.896866,-45.326584,79.143021,-16.163912,-1.737634
1.3166666667,-26.373596,131.897293,-45.325642,79.141747,-16.159597,-1.736649
1.3333333333,-26.372709,131.897705,-45.324718,79.140602,-16.154791,-1.737294
1.3500000000,-26.371864,131.898087,-45.323788,79.139732,-16.152456,-1.744623
1.3666666667,-26.371082,131.898422,-45.322819,79.154251,-16.150759,-1.755235
1.3833333333,-26.367754,131.898727,-45.321789,79.177780,-16.149420,-1.772179
1.4000000000,-26.363813,131.898972,-45.320663,79.187874,-16.148222,-1.784287
1.4166666667,-26.359840,131.899170,-45.319450,79.189758,-16.148529,-1.796319
1.4333333333,-26.355486,131.899323,-45.318172,79.191498,-16.153460,-1.801147
1.4500000000,-26.353220,131.899414,-45.316856,79.193199,-16.159716,-1.807251
1.4666666667,-26.352432,131.899551,-45.315517,79.195000,-16.165247,-1.813427
1.4833333333,-26.351673,131.899658,-45.314178,79.205002,-16.173170,-1.821653
1.5000000000,-26.350952,131.899765,-45.312836,79.208282,-16.183191,-1.831445
1.5166666667,-26.350264,131.899872,-45.310616,79.211586,-16.188370,-1.845108
1.5333333333,-26.349615,131.899963,-45.308392,79.215355,-16.190414,-1.846701
1.5500000000,-26.349003,131.900055,-45.306156,79.219261,-16.191761,-1.848072
1.5666666667,-26.348433,131.900146,-45.303909,79.223228,-16.192472,-1.849540
1.5833333333,-26.347906,131.900208,-45.300762,79.237381,-16.192604,-1.851421
1.6000000000,-26.347422,131.900299,-45.297440,79.247192,-16.192471,-1.855577
1.6166666667,-26.346983,131.900360,-45.294281,79.258720,-16.192236,-1.862162
1.6333333333,-26.346592,131.900436,-45.291016,79.265152,-16.191912,-1.864334
1.6500000000,-26.346249,131.900497,-45.287975,79.273102,-16.191513,-1.867068
