head_x,head_y,head_z,r_controller_x,r_controller_y,r_controller_1_z,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-19.956749,159.239059,-6.531892,14.168085,83.658691,-10.161171,-41.951252,77.81942,-13.423971,-16.646494,98.234177,-5.108974,6.670086,31.059921,-11.017011,-20.126856,9.933421,0.985045
-20.145012,159.325241,-6.441709,14.050409,83.641861,-10.073995,-42.334202,77.941948,-13.558446,-16.806366,98.391792,-5.12856,5.821339,32.491352,-11.744993,-20.102938,9.920209,0.977567
-20.325598,159.412674,-6.34233,13.948193,83.614677,-10.006824,-42.679352,78.106186,-13.693734,-16.968193,98.488968,-5.216027,4.968404,33.954784,-12.356677,-20.09754,9.917632,0.969053
-20.509033,159.496658,-6.255864,13.872223,83.586632,-9.948171,-42.977501,78.25,-13.782944,-17.114792,98.675728,-5.231341,4.238168,35.419895,-13.019783,-20.107193,9.915679,0.96502
-20.673838,159.573105,-6.158005,13.82929,83.560738,-9.905468,-43.209724,78.38546,-13.862163,-17.286755,98.823486,-5.328775,3.53834,36.887352,-13.617307,-20.108486,9.926668,0.962803
-20.82456,159.636597,-6.068413,13.802633,83.515137,-9.882129,-43.420727,78.492065,-13.888383,-17.427147,99.020355,-5.377801,2.960932,38.277515,-14.224293,-20.095911,9.90523,0.961052
-20.976931,159.701996,-5.976016,13.742141,83.472954,-9.875673,-43.583153,78.568413,-13.902418,-17.620045,99.161171,-5.489068,2.396,39.716419,-14.746037,-20.118887,9.908814,0.96122
-21.133228,159.76889,-5.900584,13.664846,83.450516,-9.887348,-43.731323,78.622467,-13.885192,-17.793976,99.361198,-5.584726,1.976077,41.110168,-15.348512,-20.136284,9.913485,0.940677
-21.273405,159.827896,-5.821702,13.567667,83.432526,-9.922884,-43.838821,78.643898,-13.852029,-17.969782,99.517006,-5.684615,1.566217,42.5005,-15.829277,-20.127096,9.899405,0.916808
-21.409235,159.881729,-5.738494,13.469511,83.429611,-9.965089,-43.933914,78.656662,-13.799817,-18.145372,99.685577,-5.757235,1.291466,43.830162,-16.317078,-20.0977,9.871726,0.900627
-21.543953,159.941711,-5.668844,13.361877,83.447563,-10.032035,-44.010792,78.655144,-13.743309,-18.320675,99.827209,-5.853185,1.044606,45.168438,-16.734304,-20.0933,9.847198,0.88355
-21.680986,160.015778,-5.606094,13.245711,83.487862,-10.124511,-44.074512,78.645126,-13.666386,-18.477625,100.005203,-5.936594,0.899595,46.454311,-17.177834,-20.090965,9.83987,0.869675
-21.798588,160.096237,-5.548762,13.113592,83.531448,-10.224429,-44.148212,78.645142,-13.601013,-18.634729,100.126213,-6.046774,0.777068,47.743366,-17.571152,-20.093573,9.829618,0.867239
-21.917599,160.177231,-5.495042,12.967877,83.59272,-10.32118,-44.228828,78.649673,-13.54186,-18.743942,100.317596,-6.136081,0.754181,48.970833,-18.003788,-20.102024,9.823098,0.865092
-22.015541,160.272446,-5.44729,12.804132,83.654343,-10.44378,-44.321087,78.668457,-13.489224,-18.842672,100.465889,-6.223166,0.722879,50.178463,-18.304464,-20.094879,9.834753,0.862776
-22.115541,160.353989,-5.409245,12.640528,83.744881,-10.578959,-44.407543,78.699234,-13.456728,-18.912966,100.670486,-6.305469,0.771361,51.302197,-18.685278,-20.093958,9.81893,0.856146
-22.207396,160.442902,-5.382014,12.468676,83.830467,-10.736475,-44.502663,78.745155,-13.427444,-18.991451,100.831329,-6.360008,0.775941,52.393173,-18.963631,-20.092899,9.818725,0.849577
-22.299639,160.522598,-5.367074,12.324871,83.94426,-10.900226,-44.581059,78.791771,-13.419206,-19.062582,101.021767,-6.410173,0.841032,53.411297,-19.287617,-20.092093,9.811922,0.838374
-22.376068,160.601578,-5.366096,12.183873,84.057724,-11.091981,-44.634644,78.827751,-13.415312,-19.129429,101.1558,-6.475935,0.859472,54.411835,-19.544012,-20.09322,9.797915,0.821995
-22.462646,160.673935,-5.365837,12.053993,84.18988,-11.277514,-44.67749,78.856476,-13.405228,-19.193298,101.349022,-6.525394,0.914251,55.360466,-19.865826,-20.11117,9.804163,0.814221
-22.531784,160.729309,-5.383733,11.930086,84.314766,-11.475513,-44.679428,78.858284,-13.390892,-19.244133,101.506012,-6.560514,0.914027,56.267719,-20.158264,-20.106966,9.790901,0.789052
-22.602245,160.772141,-5.40521,11.813867,84.445801,-11.661903,-44.67049,78.851486,-13.348584,-19.290627,101.709236,-6.603014,0.941275,57.096771,-20.474291,-20.105612,9.787623,0.767324
-22.657042,160.802139,-5.428726,11.692352,84.573784,-11.845142,-44.634613,78.829567,-13.318477,-19.34202,101.842148,-6.620923,0.950126,57.902634,-20.799095,-20.104467,9.785213,0.759453
-22.71423,160.811584,-5.453934,11.568412,84.701889,-12.004092,-44.578159,78.790268,-13.263054,-19.370388,102.023323,-6.632828,1.003037,58.626781,-21.16958,-20.104258,9.773409,0.753227
-22.757124,160.816238,-5.495054,11.456389,84.837601,-12.177634,-44.511799,78.744469,-13.22759,-19.381376,102.151886,-6.615112,1.042395,59.323318,-21.554571,-20.110081,9.771648,0.75095
-22.802937,160.80542,-5.538313,11.356885,84.980949,-12.33933,-44.45216,78.695198,-13.204913,-19.390537,102.320572,-6.61757,1.121826,59.965672,-21.994816,-20.117147,9.77173,0.749338
-22.82836,160.786957,-5.587088,11.272475,85.122604,-12.49898,-44.395161,78.638252,-13.192805,-19.394463,102.420395,-6.595212,1.187032,60.544403,-22.453308,-20.132563,9.775111,0.748185
-22.855999,160.753845,-5.645807,11.200142,85.25502,-12.65071,-44.333862,78.57579,-13.193588,-19.392822,102.575333,-6.589911,1.310814,61.048492,-22.953016,-20.165108,9.781806,0.747286
-22.871672,160.716644,-5.70472,11.136671,85.385178,-12.775446,-44.286057,78.506668,-13.199713,-19.395266,102.667816,-6.551956,1.408172,61.503853,-23.462782,-20.199924,9.808526,0.765803
-22.883444,160.661453,-5.781879,11.081165,85.499947,-12.884615,-44.230019,78.431221,-13.214079,-19.390049,102.809525,-6.537218,1.502297,61.958595,-24.01107,-20.215874,9.812578,0.776979
-22.895399,160.589737,-5.852227,11.040902,85.606926,-12.963955,-44.178993,78.346703,-13.236182,-19.404341,102.867142,-6.489397,1.581696,62.322372,-24.533529,-20.221992,9.815035,0.77992
-22.905996,160.504379,-5.927661,10.998644,85.6819,-13.035213,-44.133453,78.267128,-13.272147,-19.415136,102.965843,-6.451758,1.681592,62.679592,-25.038,-20.227512,9.816232,0.778319
