head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-9.659441,100.016098,-14.115153,-2.969113,-2.969113,-2.969113,-22.435156,54.293869,-17.410488,-7.678556,60.44635,29.661232,19.13765,9.068376,19.242489,-33.184101,13.443937,27.532795
-9.609838,101.345818,-14.040051,-3.086254,-3.086254,-3.086254,-22.636988,54.658127,-17.48246,-7.630131,60.705284,29.10862,19.115824,9.041553,19.179842,-33.183285,13.431968,27.472147
-9.520472,102.900925,-13.921171,-3.150094,-3.150094,-3.150094,-22.750132,55.097733,-17.473742,-7.568038,61.130157,28.534184,19.166962,8.95824,19.126305,-33.175682,13.488198,27.347486
-9.372182,104.678009,-13.741894,-3.307821,-3.307821,-3.307821,-22.868366,55.801708,-17.514717,-7.49623,61.706257,27.939301,19.115583,8.933832,19.058544,-33.210938,13.631216,27.140245
-9.23777,106.73983,-13.550474,-3.460212,-3.460212,-3.460212,-22.799877,56.434788,-17.440161,-7.428784,62.447659,27.309122,19.021595,8.98868,18.939707,-33.201122,13.653154,27.046024
-9.028062,108.961853,-13.302003,-3.527959,-3.527959,-3.527959,-22.601372,57.202351,-17.308504,-7.361881,63.348476,26.634926,18.976233,8.962064,18.876566,-33.192242,13.590688,27.075031
-8.756609,111.329491,-12.966725,-3.588999,-3.588999,-3.588999,-22.254597,58.031048,-17.033802,-7.291912,64.398758,25.923595,18.987812,8.903428,18.857529,-33.212978,13.636031,26.987766
-8.500572,113.9347,-12.639152,-3.649408,-3.649408,-3.649408,-21.902142,59.369522,-16.748629,-7.224903,65.59655,25.180309,18.931522,8.878244,18.805058,-33.140743,13.478201,27.008877
-8.235347,116.719963,-12.251834,-3.644675,-3.644675,-3.644675,-21.579615,61.343666,-16.483385,-7.169103,66.939102,24.398525,18.847712,8.906301,18.744972,-33.171478,13.521234,26.917442
-7.93228,119.6604,-11.850933,-3.588011,-3.588011,-3.588011,-21.219742,63.764217,-16.192339,-7.112174,68.456039,23.567692,18.745741,8.918711,18.697893,-33.185528,13.510808,26.884354
-7.576512,122.712387,-11.367897,-3.360549,-3.360549,-3.360549,-20.807333,66.553467,-15.949543,-7.023992,70.132858,22.716604,18.666252,8.904684,18.63905,-33.208134,13.551358,26.834066
-7.218675,125.950783,-10.90213,-3.054247,-3.054247,-3.054247,-20.258678,69.547951,-15.682004,-6.894876,71.953255,21.866676,18.57089,8.859725,18.57832,-33.24844,13.715187,26.624781
-6.867079,129.373611,-10.389846,-2.700658,-2.700658,-2.700658,-19.674719,72.783806,-15.173757,-6.737518,73.905891,21.026649,18.532026,8.837018,18.512756,-33.229607,13.722951,26.516226
-6.494205,132.965836,-9.874516,-2.138317,-2.138317,-2.138317,-18.956501,76.198112,-14.49332,-6.576811,76.043442,20.182735,18.489965,8.781966,18.494492,-33.28582,13.814465,26.420624
-6.124135,136.727798,-9.307198,-1.584941,-1.584941,-1.584941,-18.335972,80.000664,-13.676268,-6.433152,78.363083,19.301035,18.483767,8.785576,18.43651,-33.32476,13.847107,26.303493
-5.743813,140.608139,-8.761367,-0.820433,-0.820433,-0.820433,-17.670696,83.801384,-12.692789,-6.322425,80.934204,18.335606,18.480234,8.769437,18.339748,-33.353951,13.845643,26.231421
-5.378834,144.587646,-8.196347,-0.067992,-0.067992,-0.067992,-17.208735,88.044632,-11.818934,-7.124044,80.865875,16.285675,18.512577,8.76761,18.203583,-33.407902,13.917227,26.071716
-4.998732,148.621368,-7.691653,0.790531,0.790531,0.790531,-16.72261,92.098808,-10.861309,-6.651726,83.578918,15.338844,18.532856,8.763555,18.101799,-33.501236,13.988909,25.886999
-4.645162,152.755005,-7.226884,1.605367,1.605367,1.605367,-16.577669,96.417099,-10.168033,-6.232285,86.366859,14.088794,18.639441,8.83962,17.90217,-33.630512,14.122898,25.649618
-4.26991,156.90062,-6.842628,2.617579,2.617579,2.617579,-16.602526,100.453827,-9.526557,-6.494047,90.438622,12.197139,18.836737,8.906722,17.717573,-33.824268,14.257944,25.342548
-3.903422,161.064255,-6.512244,3.765357,3.765357,3.765357,-16.849022,104.187172,-9.054328,-7.216441,95.347847,9.695296,19.233831,8.997073,17.483433,-34.117607,14.453474,24.953264
-3.549011,165.159164,-6.298634,4.973055,4.973055,4.973055,-17.34828,107.594322,-8.734737,-6.605195,99.078644,8.38025,19.780197,9.161299,16.994118,-34.631638,14.765065,24.381945
-3.225631,169.077438,-6.161766,6.026236,6.026236,6.026236,-17.757576,110.257332,-8.224483,-5.810319,102.612877,7.363223,20.398785,9.682823,16.061731,-35.341122,15.353967,23.450104
-2.893013,172.69101,-6.063466,7.08399,7.08399,7.08399,-18.449692,112.706078,-8.003037,-5.645381,107.087975,5.799618,21.115561,11.1996,14.729092,-36.181168,17.016603,22.511585
-2.585087,175.871811,-5.920903,7.915658,7.915658,7.915658,-18.98847,114.525719,-7.696894,-5.102838,110.781036,4.868393,20.844309,14.17651,14.18106,-36.066608,20.149843,21.62517
-2.260085,178.709488,-5.754653,8.586617,8.586617,8.586617,-19.814974,115.864807,-7.643981,-5.123531,114.871414,3.715358,20.346001,17.200487,13.851759,-35.446762,22.771778,21.359386
-1.978681,181.367538,-5.671552,9.166863,9.166863,9.166863,-20.447279,116.705406,-7.329438,-5.472441,119.050285,2.681457,20.454422,19.025095,14.575684,-34.505508,25.335001,21.943027
-1.673182,183.872543,-5.688371,9.766794,9.766794,9.766794,-20.862816,117.141624,-6.751434,-5.730895,122.181015,2.240652,20.199686,21.322271,16.3552,-33.002327,26.973593,22.850525
-1.401802,186.144897,-5.741704,10.28318,10.28318,10.28318,-20.924114,117.227173,-5.881226,-6.616012,125.564583,1.810891,19.684702,23.970045,17.418287,-31.130835,29.050383,23.574545
-1.129446,188.091049,-5.800268,10.704342,10.704342,10.704342,-20.728041,116.883034,-4.879283,-6.440196,127.111092,2.257442,19.137192,25.992554,18.534821,-29.820162,31.435389,24.306444
-0.965016,189.725159,-5.894811,10.924196,10.924196,10.924196,-20.55583,116.71843,-3.72971,-6.775342,128.932159,2.194967,18.370686,27.76157,19.052746,-28.690819,32.5312,24.426426
-0.757092,191.093109,-5.933211,11.150809,11.150809,11.150809,-20.430954,116.339417,-2.632394,-6.880813,129.672974,2.4393,18.420137,29.572504,18.860392,-28.165678,34.326916,23.791119
-0.594086,192.169128,-5.93784,11.184668,11.184668,11.184668,-20.575438,116.16777,-1.685762,-6.762137,130.610764,2.624223,18.514299,31.074394,18.144285,-28.209019,35.180393,22.834644
-0.41388,192.962967,-5.942593,11.100627,11.100627,11.100627,-20.829515,116.003784,-0.714143,-7.683323,131.733612,2.291125,18.705591,32.657425,17.594219,-28.448839,36.539433,21.926184
-0.327019,193.481552,-5.997613,11.017947,11.017947,11.017947,-21.150177,115.921005,0.015765,-8.755384,133.11795,1.443784,18.914104,33.863522,16.927372,-28.945448,37.214855,21.123796
-0.188255,193.753601,-6.086173,10.9551,10.9551,10.9551,-21.418783,115.937691,0.691616,-8.492751,133.285461,1.835493,18.841915,34.607815,16.630623,-29.523228,37.935837,20.334122
-0.073664,193.742203,-6.161122,10.952053,10.952053,10.952053,-21.710703,115.931938,1.14037,-9.056219,132.804352,1.605995,18.795841,34.653103,16.219517,-30.063173,38.421471,19.654297
0.032482,193.444382,-6.218086,11.018045,11.018045,11.018045,-21.965908,115.771156,1.539921,-8.800972,132.371902,2.043504,18.425507,34.250298,16.375843,-30.491777,38.394123,19.192062
0.040176,192.847488,-6.243712,11.019732,11.019732,11.019732,-22.269396,115.549454,1.740866,-9.028241,131.68869,2.100532,17.78643,33.690033,16.327045,-30.796663,38.208557,18.745762
0.118557,191.969193,-6.203088,11.173863,11.173863,11.173863,-22.557438,115.123711,1.931165,-8.846982,130.809036,2.537221,17.133823,32.872189,16.349201,-31.005886,37.545914,18.359993
0.208922,190.80249,-6.128295,11.387943,11.387943,11.387943,-22.917675,114.566017,2.027902,-8.740909,129.753647,2.988964,16.691154,31.823673,16.187172,-31.087067,36.551296,18.068577
0.250547,189.387299,-6.051147,11.603597,11.603597,11.603597,-23.244785,113.59407,2.158943,-8.635415,128.441498,3.44169,16.156826,30.490572,16.180363,-31.249935,35.182228,17.910606
0.311728,187.764114,-5.92906,11.565828,11.565828,11.565828,-23.662161,112.436333,2.276933,-8.473731,126.850594,4.027803,15.688339,29.222136,16.239376,-31.550495,33.789886,17.833296
0.27838,185.896286,-5.827199,11.55512,11.55512,11.55512,-24.054224,110.889832,2.389893,-8.441484,124.883995,4.522932,15.530937,27.399389,16.315691,-31.917355,31.874523,17.967598
0.358174,183.714584,-5.625028,11.569474,11.569474,11.569474,-24.532927,109.169861,2.472326,-8.190553,122.608177,5.246244,15.858598,25.108667,16.727407,-32.266296,29.631969,18.411781
0.404927,181.233215,-5.361667,11.40061,11.40061,11.40061,-25.045246,107.090561,2.447784,-8.251847,120.116585,5.758779,16.134289,22.515274,17.183489,-32.824604,27.230249,18.929245
0.266682,178.538788,-5.206861,10.977592,10.977592,10.977592,-25.619209,104.845993,2.329393,-8.647722,118.060692,5.997636,16.075348,20.045298,17.676535,-33.501915,24.744667,19.642117
0.124374,175.544357,-5.011858,10.604279,10.604279,10.604279,-26.146946,102.268631,2.192353,-8.557273,114.820259,6.807581,16.256437,17.214064,18.299765,-34.18343,21.809395,20.602682
0.132307,172.238693,-4.736557,10.214854,10.214854,10.214854,-26.641911,99.526657,1.92114,-9.776434,112.452545,6.57701,16.239723,13.865718,19.278784,-34.81356,18.704517,21.727283
-0.01012,168.69368,-4.506287,9.797097,9.797097,9.797097,-27.070312,96.566666,1.598382,-9.654006,108.761414,7.551128,16.19894,10.551989,20.220585,-35.096516,15.167776,22.970537
-0.32742,164.991058,-4.415436,9.132946,9.132946,9.132946,-27.395226,93.38913,1.210084,-11.025763,106.060127,7.359457,15.803993,7.481577,21.336826,-35.422646,12.533216,23.834265
-0.577914,161.384872,-4.429265,8.462271,8.462271,8.462271,-27.681021,90.177086,0.74635,-11.049284,102.053734,8.561327,15.47256,7.401495,22.58349,-35.335205,11.185172,24.427401
-0.727265,157.966354,-4.544729,8.026902,8.026902,8.026902,-28.003223,87.168808,0.206929,-12.056392,98.578743,9.69309,13.848275,2.767004,22.557991,-37.510254,5.168989,24.808411
-0.920487,154.804214,-4.742674,7.548027,7.548027,7.548027,-28.245398,84.140266,-0.226585,-11.965342,94.711761,12.095775,16.513206,8.522585,26.196693,-30.171579,9.26306,30.577343
-1.506274,152.14064,-5.214902,6.979192,6.979192,6.979192,-28.378487,81.2005,-0.711118,-12.765954,91.980774,13.621656,14.978333,8.719367,25.547743,-30.689678,10.482882,29.682648
-1.852876,149.733582,-5.529434,6.595505,6.595505,6.595505,-28.327587,78.520691,-1.189578,-12.387508,89.409859,15.248169,15.066551,9.327395,25.302639,-30.111719,9.600578,30.668158
-2.209288,147.629715,-5.82122,6.295436,6.295436,6.295436,-28.100786,76.553711,-1.704771,-12.878908,88.827637,15.684777,14.874513,9.171166,25.412884,-29.421371,8.95163,31.493969
-2.555356,145.918503,-6.060869,5.916583,5.916583,5.916583,-27.756668,75.073654,-2.291691,-12.887007,89.014923,15.947788,14.904789,8.961032,25.84515,-28.668434,7.885808,32.730675
-2.852365,144.670135,-6.170089,5.462318,5.462318,5.462318,-27.264593,74.044052,-2.897089,-13.145305,88.244934,16.338579,15.442771,9.093019,25.726582,-28.364452,6.225368,33.005474
-3.19188,143.788544,-6.191243,4.851155,4.851155,4.851155,-26.646957,73.484467,-3.403043,-13.2927,88.305954,16.574949,15.503829,9.0118,25.827005,-27.839489,5.130809,33.861664
-3.504189,143.321564,-6.138863,4.110003,4.110003,4.110003,-25.919407,73.179024,-3.676561,-13.971721,88.6231,16.919209,15.831254,8.753656,25.713785,-27.45602,3.809086,34.162872
-3.832064,143.179489,-5.994966,3.295933,3.295933,3.295933,-25.153397,73.151138,-3.945791,-14.207072,88.434731,17.316504,15.974092,8.587522,25.747696,-26.96747,2.660231,34.867138
-4.117974,143.346863,-5.781384,2.47108,2.47108,2.47108,-24.48661,73.374939,-4.169174,-13.933235,87.568039,18.069647,16.057648,8.541074,25.86841,-26.64999,1.58144,35.258591
-4.389176,143.79538,-5.485845,1.786136,1.786136,1.786136,-23.800104,73.854752,-4.354949,-13.992867,87.595711,18.314322,16.198236,8.3891,25.861868,-26.22559,0.410395,35.859283
-4.668739,144.519577,-5.085789,1.259943,1.259943,1.259943,-23.147091,74.518776,-4.539087,-13.724024,87.831711,18.534382,16.304932,8.274838,26.041866,-25.894524,-0.35806,36.337658
-4.955349,145.486862,-4.600754,0.787736,0.787736,0.787736,-22.577162,75.331963,-4.694253,-13.863239,88.696877,18.32839,16.314617,8.170192,26.222534,-25.697433,-1.190692,36.743042
-5.229802,146.68782,-4.067872,0.430794,0.430794,0.430794,-22.063322,76.253555,-4.777564,-13.411669,89.157387,18.606178,16.536936,8.050819,26.274008,-25.233313,-2.004481,37.342785
-5.492192,148.054688,-3.473681,0.044868,0.044868,0.044868,-21.557177,77.232628,-4.842541,-13.498412,90.279175,18.261585,16.713423,7.90021,26.260981,-24.908985,-3.079836,37.855789
-5.741845,149.528488,-2.814341,-0.209632,-0.209632,-0.209632,-21.108517,78.341682,-4.858634,-13.11443,90.751549,18.391693,16.762804,7.827202,26.497732,-24.670288,-3.335701,38.21566
