head_x,head_y,head_z,r_controller_x,r_controller_x,r_controller_x,l_controller_x,l_controller_y,l_controller_z,waist_x,waist_y,waist_z,r_foot_x,r_foot_y,r_foot_z,l_foot_x,l_foot_y,l_foot_z
-15.837762,165.955978,7.500097,-2.337213,-2.337213,-2.337213,-40.776943,84.535362,21.346062,-23.386175,100.121162,4.513029,3.268706,16.337393,1.023621,-17.240637,11.940195,24.084499
-16.429035,165.951965,7.506705,-3.43817,-3.43817,-3.43817,-41.500984,84.617523,21.982817,-24.250189,100.41568,4.518489,0.427471,16.318182,-0.078417,-17.289242,11.941,24.073013
-16.999836,165.948853,7.516319,-4.529346,-4.529346,-4.529346,-42.187435,84.727654,22.588184,-25.123573,100.704155,4.537722,-2.610645,16.39537,-1.259041,-17.337191,11.927408,24.095577
-17.602297,165.949966,7.469815,-5.639033,-5.639033,-5.639033,-42.821934,84.825142,23.180323,-25.837854,100.798241,4.685332,-5.741594,16.183386,-2.430243,-17.382544,11.92368,24.063272
-18.197971,165.951813,7.4156,-6.754991,-6.754991,-6.754991,-43.412735,84.916679,23.750399,-26.636539,100.953072,4.775982,-9.015008,16.076736,-3.598419,-17.400812,11.870332,24.083363
-18.820284,165.948975,7.324103,-7.892753,-7.892753,-7.892753,-43.94939,85.004471,24.301355,-27.253841,100.998268,4.988242,-12.416963,15.753952,-4.742643,-17.442476,11.87343,24.08404
-19.453175,165.951202,7.204913,-9.084767,-9.084767,-9.084767,-44.437965,85.091843,24.809559,-28.026125,101.13089,5.038248,-15.936228,15.562238,-5.829817,-17.514349,11.902281,24.062792
-20.109772,165.928574,7.06518,-10.29263,-10.29263,-10.29263,-44.861591,85.159668,25.305992,-28.728258,101.245438,5.114389,-19.562876,15.238676,-6.86968,-17.573816,11.909634,24.053946
-20.755764,165.9086,6.918606,-11.535536,-11.535536,-11.535536,-45.214638,85.204491,25.769697,-29.472408,101.377182,5.12603,-23.222187,15.019821,-7.792471,-17.631237,11.915366,24.034111
-21.442711,165.882767,6.744808,-12.800506,-12.800506,-12.800506,-45.512009,85.244492,26.224453,-30.134941,101.438019,5.214233,-26.97879,14.82062,-8.670444,-17.718681,11.920382,24.03187
